Date,Returns_RP
2007-01-01,0.0
2007-01-02,0.0
2007-01-03,0.0021227703172155632
2007-01-04,0.001526356205426004
2007-01-05,-0.009241639290108858
2007-01-08,0.001975457914746131
2007-01-09,0.0018158344683814986
2007-01-10,0.0040592242376291145
2007-01-11,0.008013635796688729
2007-01-12,0.003582920023730338
2007-01-15,0.0
2007-01-16,0.0016114946203376608
2007-01-17,0.00037963139900096515
2007-01-18,-0.00424336557268061
2007-01-19,0.004481106967012613
2007-01-22,-0.004277081584028971
2007-01-23,0.004539567909262204
2007-01-24,0.008060979556641427
2007-01-25,-0.00885013510800887
2007-01-26,0.00013086339897519096
2007-01-29,0.0025752390332494037
2007-01-30,0.005386264228726318
2007-01-31,0.006727612289710202
2007-02-01,0.006999639469671273
2007-02-02,0.0025341600447523873
2007-02-05,-0.0009103329633180463
2007-02-06,0.0023544707876390156
2007-02-07,0.003334748476695112
2007-02-08,0.00018221867706822865
2007-02-09,-0.005714438036691026
2007-02-12,-0.0028816337752283587
2007-02-13,0.007550789175738021
2007-02-14,0.006548602719199862
2007-02-15,0.001990571054806879
2007-02-16,0.001320927202646943
2007-02-19,0.0
2007-02-20,0.0049033628782448255
2007-02-21,-0.0014992897057432351
2007-02-22,-0.0011188376624406827
2007-02-23,-0.0022641479520601826
2007-02-26,-0.0013679670173488761
2007-02-27,-0.030755477800513124
2007-02-28,0.004255652608164859
2007-03-01,-0.0036857449416430195
2007-03-02,-0.012658730306029473
2007-03-05,-0.011896851164730266
2007-03-06,0.015339120208712562
2007-03-07,-0.0023146671588524575
2007-03-08,0.008277722859236253
2007-03-09,0.0027387091819013904
2007-03-12,0.0036949063020145986
2007-03-13,-0.019075024210178065
2007-03-14,0.004512723747844932
2007-03-15,0.005452967905548582
2007-03-16,-0.0035489980314081454
2007-03-19,0.010919545677087444
2007-03-20,0.007402959601658176
2007-03-21,0.013759602179878894
2007-03-22,0.00032727527116058056
2007-03-23,0.002242067861707943
2007-03-26,-0.0010250575913001991
2007-03-27,-0.005948496679823181
2007-03-28,-0.005421753036913328
2007-03-29,0.002155646765284074
2007-03-30,8.262939754839229e-05
2007-04-02,0.0038794719578579408
2007-04-03,0.008602669992878927
2007-04-04,4.3028536179208057e-05
2007-04-05,0.0027521789330182877
2007-04-06,0.0
2007-04-09,0.00125040095984994
2007-04-10,0.0027843941677670155
2007-04-11,-0.005506094682080639
2007-04-12,0.0051860469037960395
2007-04-13,0.0029526720719522262
2007-04-16,0.009438781670918824
2007-04-17,0.0023486010532675155
2007-04-18,-8.87752957918493e-05
2007-04-19,-0.0036984240435042723
2007-04-20,0.00796094799744184
2007-04-23,0.0001816011418988793
2007-04-24,0.0003727408530040871
2007-04-25,0.007151516819834928
2007-04-26,-0.0008825892071360779
2007-04-27,-0.0008952165136207917
2007-04-30,-0.010341855130657442
2007-05-01,0.0031777970140367115
2007-05-02,0.008248842223103611
2007-05-03,0.003453267704714499
2007-05-04,0.002641640574661772
2007-05-07,0.0017113171263815291
2007-05-08,-0.001409416062642682
2007-05-09,0.0042374226648745905
2007-05-10,-0.013663805679881548
2007-05-11,0.008678298500754918
2007-05-14,-0.002084318034921641
2007-05-15,-0.0030583292868726327
2007-05-16,0.006635978206289651
2007-05-17,-0.002375012555325579
2007-05-18,0.0060661481856682424
2007-05-21,0.0033443160641468063
2007-05-22,0.0019290948473712258
2007-05-23,-0.002292781281494863
2007-05-24,-0.012355221355810596
2007-05-25,0.004496600339343447
2007-05-28,0.0
2007-05-29,0.0044504700372308545
2007-05-30,0.008637835254059898
2007-05-31,0.003817414129167686
2007-06-01,0.004077738817091385
2007-06-04,0.0019397809719793211
2007-06-05,-0.006655388828753438
2007-06-06,-0.008839563650291683
2007-06-07,-0.01887485398288649
2007-06-08,0.010064685206998328
2007-06-11,0.00021834936782168073
2007-06-12,-0.01030731521037272
2007-06-13,0.014739718370978653
2007-06-14,0.0036834056106999913
2007-06-15,0.006753374972257986
2007-06-18,-0.002312535827737247
2007-06-19,0.0013417449019376654
2007-06-20,-0.012393138150769934
2007-06-21,0.0051239452359356456
2007-06-22,-0.010282209275273006
2007-06-25,-0.003952264052265979
2007-06-26,-0.0037528368489921906
2007-06-27,0.01164932694332251
2007-06-28,-6.383651415278106e-05
2007-06-29,-0.0017182196789110437
2007-07-02,0.010536487247986271
2007-07-03,0.0022717766812611418
2007-07-04,0.0
2007-07-05,0.001732417570372861
2007-07-06,0.004529949498237616
2007-07-09,2.5171583879473572e-05
2007-07-10,-0.014498922388518895
2007-07-11,0.005264427508725699
2007-07-12,0.015858201184163333
2007-07-13,0.00395361022594149
2007-07-16,-0.004027178792087861
2007-07-17,-0.0005695944010103634
2007-07-18,-0.0011552602105152263
2007-07-19,0.005206784175680946
2007-07-20,-0.012219709469386804
2007-07-23,0.0013704704449376518
2007-07-24,-0.01928537705489392
2007-07-25,0.0033696230586692097
2007-07-26,-0.02221724866550354
2007-07-27,-0.01515533006656399
2007-07-30,0.010987302846727906
2007-07-31,-0.010369665859367144
2007-08-01,0.008146785285086996
2007-08-02,0.007301049917685359
2007-08-03,-0.02562441358204609
2007-08-06,0.021951025768025705
2007-08-07,0.006599891947414772
2007-08-08,0.012217909224532787
2007-08-09,-0.024998022629251448
2007-08-10,0.0019578142133744062
2007-08-13,0.001010963896607921
2007-08-14,-0.01926748501471081
2007-08-15,-0.016208590510419292
2007-08-16,0.001959611291523034
2007-08-17,0.023219107631156036
2007-08-20,0.00285920060211445
2007-08-21,0.0024489762192869942
2007-08-22,0.01279808703337853
