Date,Returns_RP
2007-01-01,0.0
2007-01-02,0.0
2007-01-03,0.0019867416902241827
2007-01-04,0.0009547893139139484
2007-01-05,-0.009339405065605978
2007-01-08,0.002226442646210033
2007-01-09,0.0016919363905964343
2007-01-10,0.003994160050017858
2007-01-11,0.007396127111139103
2007-01-12,0.0031180545682251573
2007-01-15,0.0
2007-01-16,0.0017243810214945296
2007-01-17,0.0005431491508450794
2007-01-18,-0.0037985088474527143
2007-01-19,0.004536432246594011
2007-01-22,-0.00371700431518738
2007-01-23,0.004500498215571741
2007-01-24,0.008123569796239736
2007-01-25,-0.008636739002830393
2007-01-26,0.0003036806345917425
2007-01-29,0.001975866921740464
2007-01-30,0.005440286853574076
2007-01-31,0.0065449265547544615
2007-02-01,0.007295965370894873
2007-02-02,0.0026489105221542673
2007-02-05,-0.0011302889548515439
2007-02-06,0.0020021247860493975
2007-02-07,0.0027499478368300354
2007-02-08,0.0003608365568275985
2007-02-09,-0.00554588097228617
2007-02-12,-0.0027721707187790324
2007-02-13,0.007898667184299775
2007-02-14,0.006263745288429162
2007-02-15,0.002055928644720255
2007-02-16,0.0007112009397576849
2007-02-19,0.0
2007-02-20,0.00492668791673397
2007-02-21,-0.0014933425637624976
2007-02-22,-0.0012834542575760682
2007-02-23,-0.002311008772643147
2007-02-26,-0.0007118594322943839
2007-02-27,-0.030249785370660462
2007-02-28,0.003931782375731017
2007-03-01,-0.003997565992405599
2007-03-02,-0.012821886733470362
2007-03-05,-0.011823221169508723
2007-03-06,0.01553715251041313
2007-03-07,-0.0018003308349267932
2007-03-08,0.008226572693817089
2007-03-09,0.002674707880577543
2007-03-12,0.0035071626461922654
2007-03-13,-0.019413302469096706
2007-03-14,0.0046506477595107286
2007-03-15,0.005321420956886579
2007-03-16,-0.0033393237412308106
2007-03-19,0.010829893691683615
2007-03-20,0.007370381951720935
2007-03-21,0.014015017733434564
2007-03-22,0.0006952744881691871
2007-03-23,0.0023681559004125243
2007-03-26,-0.0008704505250525563
2007-03-27,-0.005724691698730664
2007-03-28,-0.005671098525559883
2007-03-29,0.0021709861924232693
2007-03-30,-4.982218953495773e-05
2007-04-02,0.003643970143521946
2007-04-03,0.008847716706803722
2007-04-04,0.00020610021972711042
2007-04-05,0.00299050327271677
2007-04-06,0.0
2007-04-09,0.001290560575691016
2007-04-10,0.002824166997705403
2007-04-11,-0.0054290380326625105
2007-04-12,0.00579633334601121
2007-04-13,0.0028216463682080454
2007-04-16,0.009545137301838591
2007-04-17,0.0019331804039098269
2007-04-18,7.643430096364388e-05
2007-04-19,-0.003787622582574064
2007-04-20,0.007786748814212258
2007-04-23,0.00013257491283853544
2007-04-24,0.0006257221012180376
2007-04-25,0.007488609184027887
2007-04-26,-0.0004733178058954155
2007-04-27,-0.0010260134357037718
2007-04-30,-0.010555335605601636
2007-05-01,0.003248276474066148
2007-05-02,0.008465335165464227
2007-05-03,0.0033671252595942943
2007-05-04,0.003297628837769154
2007-05-07,0.0013670673534308467
2007-05-08,-0.0013036862648914617
2007-05-09,0.004786391872419995
2007-05-10,-0.013807112678565147
2007-05-11,0.00896808726122503
2007-05-14,-0.0022169315577813087
2007-05-15,-0.003483987285108462
2007-05-16,0.006828335421841348
2007-05-17,-0.001916529010387259
2007-05-18,0.006472793851536009
2007-05-21,0.003623541844914739
2007-05-22,0.0021214955682573745
2007-05-23,-0.00211847275358821
2007-05-24,-0.012201314972479747
2007-05-25,0.004516428690479261
2007-05-28,0.0
2007-05-29,0.004172008911376613
2007-05-30,0.008604644261480438
2007-05-31,0.004275874589195857
2007-06-01,0.004366110059541723
2007-06-04,0.002162379288776937
2007-06-05,-0.006071588465093557
2007-06-06,-0.008996501949151008
2007-06-07,-0.018628205267540467
2007-06-08,0.010410403963172693
2007-06-11,-0.00010179114675842849
2007-06-12,-0.009936933894985026
2007-06-13,0.01448556187358477
2007-06-14,0.004333050086749205
2007-06-15,0.006533952704693568
2007-06-18,-0.0020090480745685807
2007-06-19,0.0012565774987585245
2007-06-20,-0.011489034573665811
2007-06-21,0.005565054769897177
2007-06-22,-0.009838201835968355
2007-06-25,-0.004348805538686756
2007-06-26,-0.003955669617723897
2007-06-27,0.011160986288437326
2007-06-28,0.00012971052450856544
2007-06-29,-0.001720773171018692
2007-07-02,0.010161343123357197
2007-07-03,0.0023866368710426175
2007-07-04,0.0
2007-07-05,0.002549150227679652
2007-07-06,0.005279982675075361
2007-07-09,4.2274298650131774e-05
2007-07-10,-0.01432395342105994
2007-07-11,0.005561176583863804
2007-07-12,0.015702119539317435
2007-07-13,0.0036131589005547866
2007-07-16,-0.0033178372348095274
2007-07-17,6.026001713238787e-05
2007-07-18,-0.0015166995647825515
2007-07-19,0.004961736968607768
2007-07-20,-0.011781292332461156
2007-07-23,0.0011602891524701633
2007-07-24,-0.017846807663588562
2007-07-25,0.003119561505747665
2007-07-26,-0.02195166249832383
2007-07-27,-0.01476660664059573
2007-07-30,0.010850214401667283
2007-07-31,-0.010796692204842182
2007-08-01,0.007661247991725091
2007-08-02,0.007301992287409984
2007-08-03,-0.02426678456687423
2007-08-06,0.0210988662294687
2007-08-07,0.006118623678690753
2007-08-08,0.012045980340835746
2007-08-09,-0.02430082406211701
2007-08-10,0.0010498197432922594
2007-08-13,0.0003115723867860333
2007-08-14,-0.019031296038777637
2007-08-15,-0.016609273003465243
2007-08-16,0.0010804613116191964
2007-08-17,0.023069621049612958
2007-08-20,0.003576294431804724
2007-08-21,0.003095535875170254
2007-08-22,0.012758300972179138
2007-08-23,-0.0032556682807927187
